name	fips
autauga county	993
baldwin county	995
barbour county	997
bibb county	999
blount county	1001
bullock county	1003
butler county	1005
calhoun county	1007
chambers county	1009
cherokee county	1011
chilton county	1013
choctaw county	1015
clarke county	1017
clay county	1019
cleburne county	1021
coffee county	1023
colbert county	1025
conecuh county	1027
coosa county	1029
covington county	1031
crenshaw county	1033
cullman county	1035
dale county	1037
dallas county	1039
dekalb county	1041
elmore county	1043
escambia county	1045
etowah county	1047
fayette county	1049
franklin county	1051
geneva county	1053
greene county	1055
hale county	1057
henry county	1059
houston county	1061
jackson county	1063
jefferson county	1065
lamar county	1067
lauderdale county	1069
lawrence county	1071
lee county	1073
limestone county	1075
lowndes county	1077
macon county	1079
madison county	1081
marengo county	1083
marion county	1085
marshall county	1087
mobile county	1089
monroe county	1091
montgomery county	1093
morgan county	1095
perry county	1097
pickens county	1099
pike county	1101
randolph county	1103
russell county	1105
st. clair county	1107
shelby county	1109
sumter county	1111
talladega county	1113
tallapoosa county	1115
tuscaloosa county	1117
walker county	1119
washington county	1121
wilcox county	1123
winston county	1125
aleutians east borough	2005
aleutians west census area	2008
anchorage municipality	2012
bethel census area	2042
bristol bay borough	2052
denali borough	2060
dillingham census area	2062
fairbanks north star borough	2082
haines borough	2092
hoonah-angoon census area	2097
juneau city and borough	2102
kenai peninsula borough	2114
ketchikan gateway borough	2122
kodiak island borough	2142
kusilvak census area	2150
lake and peninsula borough	2156
matanuska-susitna borough	2162
nome census area	2172
north slope borough	2177
northwest arctic borough	2180
petersburg borough	2187
prince of wales-hyder census area	2190
sitka city and borough	2212
skagway municipality	2222
southeast fairbanks census area	2232
valdez-cordova census area	2253
wrangell city and borough	2267
yakutat city and borough	2274
yukon-koyukuk census area	2282
apache county	3993
cochise county	3995
coconino county	3997
gila county	3999
graham county	4001
greenlee county	4003
la paz county	4004
maricopa county	4005
mohave county	4007
navajo county	4009
pima county	4011
pinal county	4013
santa cruz county	4015
yavapai county	4017
yuma county	4019
arkansas county	4993
ashley county	4995
baxter county	4997
benton county	4999
boone county	5001
bradley county	5003
calhoun county	5005
carroll county	5007
chicot county	5009
clark county	5011
clay county	5013
cleburne county	5015
cleveland county	5017
columbia county	5019
conway county	5021
craighead county	5023
crawford county	5025
crittenden county	5027
cross county	5029
dallas county	5031
desha county	5033
drew county	5035
faulkner county	5037
franklin county	5039
fulton county	5041
garland county	5043
grant county	5045
greene county	5047
hempstead county	5049
hot spring county	5051
howard county	5053
independence county	5055
izard county	5057
jackson county	5059
jefferson county	5061
johnson county	5063
lafayette county	5065
lawrence county	5067
lee county	5069
lincoln county	5071
little river county	5073
logan county	5075
lonoke county	5077
madison county	5079
marion county	5081
miller county	5083
mississippi county	5085
monroe county	5087
montgomery county	5089
nevada county	5091
newton county	5093
ouachita county	5095
perry county	5097
phillips county	5099
pike county	5101
poinsett county	5103
polk county	5105
pope county	5107
prairie county	5109
pulaski county	5111
randolph county	5113
st. francis county	5115
saline county	5117
scott county	5119
searcy county	5121
sebastian county	5123
sevier county	5125
sharp county	5127
stone county	5129
union county	5131
van buren county	5133
washington county	5135
white county	5137
woodruff county	5139
yell county	5141
alameda county	5993
alpine county	5995
amador county	5997
butte county	5999
calaveras county	6001
colusa county	6003
contra costa county	6005
del norte county	6007
el dorado county	6009
fresno county	6011
glenn county	6013
humboldt county	6015
imperial county	6017
inyo county	6019
kern county	6021
kings county	6023
lake county	6025
lassen county	6027
los angeles county	6029
madera county	6031
marin county	6033
mariposa county	6035
mendocino county	6037
merced county	6039
modoc county	6041
mono county	6043
monterey county	6045
napa county	6047
nevada county	6049
orange county	6051
placer county	6053
plumas county	6055
riverside county	6057
sacramento county	6059
san benito county	6061
san bernardino county	6063
san diego county	6065
san francisco county	6067
san joaquin county	6069
san luis obispo county	6071
san mateo county	6073
santa barbara county	6075
santa clara county	6077
santa cruz county	6079
shasta county	6081
sierra county	6083
siskiyou county	6085
solano county	6087
sonoma county	6089
stanislaus county	6091
sutter county	6093
tehama county	6095
trinity county	6097
tulare county	6099
tuolumne county	6101
ventura county	6103
yolo county	6105
yuba county	6107
adams county	7993
alamosa county	7995
arapahoe county	7997
archuleta county	7999
baca county	8001
bent county	8003
boulder county	8005
broomfield county	8006
chaffee county	8007
cheyenne county	8009
clear creek county	8011
conejos county	8013
costilla county	8015
crowley county	8017
custer county	8019
delta county	8021
denver county	8023
dolores county	8025
douglas county	8027
eagle county	8029
elbert county	8031
el paso county	8033
fremont county	8035
garfield county	8037
gilpin county	8039
