fips	name	fips	name
18993	adair county	28993	adair county
20993	adair county	28993	adair county
28993	adair county	39993	adair county
7993	adams county	15995	adams county
7993	adams county	16993	adams county
7993	adams county	17993	adams county
7993	adams county	18995	adams county
7993	adams county	30993	adams county
7993	adams county	37993	adams county
7993	adams county	38993	adams county
7993	adams county	41993	adams county
7993	adams county	52993	adams county
15995	adams county	27993	adams county
15995	adams county	54993	adams county
16993	adams county	27993	adams county
16993	adams county	54993	adams county
17993	adams county	27993	adams county
17993	adams county	54993	adams county
18995	adams county	27993	adams county
18995	adams county	54993	adams county
27993	adams county	30993	adams county
27993	adams county	37993	adams county
27993	adams county	38993	adams county
27993	adams county	41993	adams county
27993	adams county	52993	adams county
30993	adams county	54993	adams county
37993	adams county	54993	adams county
38993	adams county	54993	adams county
41993	adams county	54993	adams county
52993	adams county	54993	adams county
16995	alexander county	36995	alexander county
17995	allen county	19993	allen county
17995	allen county	20995	allen county
17995	allen county	38995	allen county
38997	ashland county	54995	ashland county
11995	baker county	12999	baker county
12999	baker county	40993	baker county
995	baldwin county	13001	baldwin county
997	barbour county	53993	barbour county
11997	bay county	26009	bay county
39999	beaver county	41999	beaver county
41999	beaver county	48993	beaver county
21005	bell county	48019	bell county
4999	benton county	19003	benton county
4999	benton county	28001	benton county
4999	benton county	40995	benton county
4999	benton county	52997	benton county
17999	benton county	19003	benton county
17999	benton county	28001	benton county
17999	benton county	40995	benton county
17999	benton county	52997	benton county
19003	benton county	27001	benton county
19003	benton county	29007	benton county
19003	benton county	46997	benton county
27001	benton county	28001	benton county
27001	benton county	40995	benton county
27001	benton county	52997	benton county
28001	benton county	29007	benton county
28001	benton county	46997	benton county
29007	benton county	40995	benton county
29007	benton county	52997	benton county
40995	benton county	46997	benton county
46997	benton county	52997	benton county
45007	berkeley county	53995	berkeley county
13011	berrien county	26013	berrien county
999	bibb county	13013	bibb county
29995	big horn county	55995	big horn county
16005	blaine county	31001	blaine county
16005	blaine county	40003	blaine county
29997	blaine county	31001	blaine county
29997	blaine county	40003	blaine county
5001	boone county	16999	boone county
5001	boone county	18003	boone county
5001	boone county	19007	boone county
5001	boone county	29011	boone county
16999	boone county	21007	boone county
16999	boone county	31003	boone county
16999	boone county	53997	boone county
18003	boone county	21007	boone county
18003	boone county	31003	boone county
18003	boone county	53997	boone county
19007	boone county	21007	boone county
19007	boone county	31003	boone county
19007	boone county	53997	boone county
21007	boone county	29011	boone county
29011	boone county	31003	boone county
29011	boone county	53997	boone county
20003	bourbon county	21009	bourbon county
5003	bradley county	47003	bradley county
