name	abbr	dem	gop	total_votes
district of columbia	DC	260223	11553	280272
madison county	ID	1201	8941	15687
uintah county	UT	988	9745	12714
jefferson county	ID	976	8436	11471
campbell county	WY	1324	15778	17935
box elder county	UT	1814	10324	16548
utah county	UT	22934	84863	164777
prince george's county	MD	313627	29290	351091
blount county	AL	2150	22808	25384
winston county	AL	871	9225	10255
san francisco county	CA	238772	27633	279917
bronx county	NY	318403	34424	358857
new york county	NY	515481	58935	591368
cullman county	AL	3730	32734	37278
petersburg city	VA	12005	1448	13717
