fips	name	state	sq_km	precip	snow	temp	life_expectancy	avg_income
6029	los angeles county	4	10510.6	17.4	0.2	63.4	81.36	62224
17023	cook county	33	2447.47	37.9	33.9	50.1	78.67	62205
36053	new york county	24	58.6813	49.9	25.8	55	81.86	193940
48193	harris county	3	4415.73	51.3	0	69.5	78.74	56474
4005	maricopa county	46	23825.9	10.2	0.1	71.5	80.06	47694
6051	orange county	4	2048.39	13.6	0	64.4	82.27	69268
48105	dallas county	3	2258.74	38.5	1.4	66.1	78.29	58993
6065	san diego county	4	10898.8	15	2.9	62.3	81.43	61386
53025	king county	0	5478.37	61.3	18.1	51.3	81.37	90438
6077	santa clara county	4	3344.21	23.6	2.9	59.2	83.14	107877
12078	miami-dade county	30	4917.52	59.5	0	75.9	80.9	50022
25009	middlesex county	27	2117.83	48.2	52.4	49.1	81.63	83795
31995	clark county	32	20439.3	7.2	0.4	66.6	78.27	47090
27045	hennepin county	38	1433.84	31.7	53.4	46.1	81	74698
13113	fulton county	8	1364.08	52.1	0.4	60.3	77.65	84386
48431	tarrant county	3	2236.92	37.2	1.1	65.5	78.68	51239
48021	bexar county	3	3211.31	32.4	0.4	69.4	78.65	46058
12087	orange county	30	2339.14	52.2	0	72.2	79.86	44647
12003	broward county	30	3120.02	63.1	0	76.1	80.25	50269
26117	oakland county	25	2246.87	32.5	36.1	47.7	79.98	72741
5993	alameda county	4	1909.62	19.2	0	59.6	81.46	76644
6067	san francisco county	4	121.485	22.2	0	56.3	81.97	130696
41995	allegheny county	12	1890.89	38.5	30.6	51.7	78.5	62958
36039	kings county	24	179.672	46.6	22.7	55.4	80.47	52192
39041	franklin county	6	1378.85	39.5	22.4	52.8	77.6	50443
39027	cuyahoga county	6	1184.01	37.7	68.1	52	77.87	54739
42093	philadelphia county	12	347.52	47.7	15	56.4	75.49	55747
25017	suffolk county	27	150.855	46.7	43.8	51	79.89	81152
26155	wayne county	25	1585.06	33.7	34.1	49.6	75.33	42942
51051	fairfax county	19	1012.58	44.4	21.1	54.1	83.73	82441
37111	mecklenburg county	16	1356.03	41.6	4.3	59.9	79.57	61137
48445	travis county	3	2569.07	35	0.4	67.7	80.89	67504
49027	salt lake county	17	1921.91	29.2	196.1	49.5	79.4	52639
12049	hillsborough county	30	2642.6	50.9	0	72.9	78.55	47000
6063	san bernardino county	4	51948.1	11.5	10.3	64.3	78.65	40316
29181	st. louis county	14	1314.77	42.5	13.7	56.2	79.49	71360
6057	riverside county	4	18664.5	8.8	2.2	68.7	80.21	40637
36073	queens county	24	281.697	43.8	25.4	55	81.82	49777
36095	suffolk county	24	2360.85	47	28	52.3	80.61	68617
17035	dupage county	33	848.222	38.4	28	49.1	81.87	72889
36051	nassau county	24	737.191	45.7	22.4	53.4	82.21	89839
12091	palm beach county	30	5092.73	58.6	0	74.2	81.24	79760
18089	marion county	26	1026.47	42.5	21.3	52.3	76.2	51940
10993	district of columbia	48	158.352	44.6	10.6	57.2	76.86	82005
42083	montgomery county	12	1250.82	47.5	20	53.6	80.85	80606
6059	sacramento county	4	2499.04	20.6	0	61.7	79.12	52544
39053	hamilton county	6	1051.35	45.1	13.5	54	77.24	59561
37175	wake county	16	2162.15	45.9	3.9	59.9	80.89	59014
8023	denver county	15	397.058	16.4	53.8	51	80.02	79849
47029	davidson county	20	1304.96	49.7	3.4	58	76.84	66060
12023	duval county	30	1975.76	49.9	0.1	69.2	76.74	46174
8995	hartford county	35	1903.98	50.8	36.4	50.4	80.08	64853
21103	jefferson county	5	985.871	45.6	9.1	57.2	77.01	51937
41043	multnomah county	11	1116.6	49.4	4.1	53.9	78.96	57850
55071	milwaukee county	9	625.439	35.1	44.7	47.9	77.66	47589
48077	collin county	3	2178.64	41.2	1.8	64.1	82	65874
47149	shelby county	20	1977.72	54.5	2.8	61.6	75.75	49465
33995	bergen county	37	602.859	47.8	25.4	54.4	82.47	85951
24023	montgomery county	40	1276.94	43	24.9	54.6	81.48	89690
36021	erie county	24	2700.59	44.6	113.9	46.8	78.51	51539
8993	fairfield county	35	1618.66	50.5	34.7	51.3	81.8	120630
6073	san mateo county	4	1161.76	27	0	57.4	83.11	126392
34015	middlesex county	37	800.858	47.8	28.4	53.1	81.2	61065
12095	pinellas county	30	709.244	53.7	0	72.9	78.89	53455
36111	westchester county	24	1115.03	50.7	32.4	51.4	82.29	108976
40101	oklahoma county	18	1835.85	36.1	5	61	75.85	52168
26073	kent county	25	2195.42	37.2	62.5	49.1	79.78	53935
14995	honolulu county	44	1555.58	59.2	0	74.9	81.37	59608
36047	monroe county	24	1702.15	34.3	99.5	48.2	79.97	52951
13059	cobb county	8	879.927	53.3	0.7	59.8	80.08	57162
29087	jackson county	14	1565.6	43.3	13.4	54.6	77.19	47054
6005	contra costa county	4	1857.31	19.7	0.2	59.9	81.39	82506
20083	johnson county	28	1226.26	41.4	15	54.9	81.7	74010
40135	tulsa county	18	1477.02	42	5.9	59.8	76.73	62756
9001	new haven county	35	1565.65	48.7	31	51.4	79.81	56650
13127	gwinnett county	8	1114.85	54.7	1.1	58.8	80.58	41458
25013	norfolk county	27	1025.87	50.9	50.2	49.4	81.38	92285
23997	baltimore county	40	1549.83	45.6	21.9	55.3	79.52	61556
1065	jefferson county	7	2877.92	55.7	0.9	62.3	75.34	54730
4011	pima county	46	23794.8	14.6	1.6	67.5	79.46	44028
31047	douglas county	-1	850.765	31.2	29.8	50.5	78.64	63435
17089	lake county	33	1149.93	36.2	43.2	48.2	81.04	78559
25019	worcester county	27	3912.56	48.2	55	46.9	79.66	57003
26091	macomb county	25	1241.12	33.7	32	48.1	78.44	46530
34019	morris county	37	1192.77	51	30.8	50.6	82	98842
27115	ramsey county	38	394.087	31.6	50.6	46.5	79.98	54934
24502	baltimore city	40	209.644	41.7	20.1	57.9	72.14	51357
34005	essex county	37	326.559	49.9	25.3	52	78.47	67459
25001	essex county	27	1275.36	48.6	48.6	49.1	80.51	67507
55017	dane county	9	3098.77	36.1	42.2	46.6	81.15	61304
7997	arapahoe county	15	2066.63	17.4	44.1	50.1	80.02	60180
41059	washington county	11	1875.85	41.2	3.4	53.6	81.69	60971
13081	dekalb county	8	693.145	53	2.9	61.7	79.14	50871
35997	bronx county	24	108.911	49	26.9	55.2	78.7	37376
43999	providence county	49	1060.79	52.6	46.7	49.2	79.26	48137
6011	fresno county	4	15431.4	21.3	0.3	60.2	78.76	43084
19145	polk county	41	1482.73	35.9	34	50.1	78.97	53215
9995	new castle county	47	1104.15	46.1	12.9	54.7	78.99	56745
24025	prince george's county	40	1250.09	44.1	13.9	56	81.48	49420
34993	bernalillo county	1	3007.31	13.4	25.7	55.5	78.7	44057
53045	pierce county	0	4320.45	58	137.4	49	78.72	52114
6103	ventura county	4	4773.3	16.4	0	59.9	81.71	61712
53053	snohomish county	0	5404.08	52.8	3.8	50.8	80.15	55888
37073	guilford county	16	1672.55	44.2	4.6	59.8	78.47	45875
42021	chester county	12	1943.85	47.1	26.9	52.3	81.21	82846
