abbr	AvgPayroll
ME	29938
DC	0
NE	-305624
IA	-436879
SD	-788455
NH	-1175300
NC	-1276200
GA	-1285459
MO	-1327930
OR	-1596528
HI	-1625200
TN	-1687611
SC	-1709630
ID	-1714682
RI	-1771600
VT	-1930929
MD	-2025292
KS	-2204048
VA	-2369226
WA	-2390846
AR	-2526293
MS	-2654854
MA	-2706786
FL	-2858119
NJ	-2902619
NY	-3140597
MI	-3472277
IN	-4100620
IL	-4160382
KY	-4760867
MN	-5104299
CT	-5476375
AL	-6333597
MT	-6602286
OH	-8173648
WI	-9947208
DE	-11419000
UT	-21539793
CA	-26274914
WV	-26478527
ND	-30003057
PA	-31563701
CO	-36081672
OK	-40007364
NM	-40916909
LA	-41136688
AK	-41608207
AZ	-48572467
WY	-59521000
NV	-76204412
TX	-79423102
